Volcanoes of the World 4.3.0,,Downloaded on 13 Jul 2014 at 11:45 PM,,,
Volcano Number,Volcano Name,Author,Publication Year,Title,Source
315030,Churchill,"Clague J J, Evans S G, Rampton V N, Woodsworth G J",1995,"Improved age estimates for the White River and Bridge River tephras, western Canada","Can J Earth Sci, 32: 1172-1179"
315030,Churchill,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
315030,Churchill,"Lerbekmo J F, Campbell F A",1969,"Distribution, Composition, and Source of the White River Ash, Yukon Territory.","Can J Earth Sci, 6: 109-116"
315030,Churchill,"Lerbekmo J F, Westgate J A, Smith D G W, Denton G H",1975,"New data on the character and history of the White River volcanic eruption, Alaska","In: Suggate R P and Cresswell M M (eds) {Quaternary Studies}, Wellington: Roy Soc New Zeal, p 203-209"
315030,Churchill,"McGimsey R G, Richter D H, DuBois G D, Miller T P",1992,"A postulated new source for the White River Ash, Alaska","U S Geol Surv Bull, 1999: 212-218"
315030,Churchill,"Richter D H, Preece S J, McGimsey R G, Westgate J A",1995,"Mount Churchill, Alaska: source of the late Holocene White River Ash","Can J Earth Sci, 32: 741-748"
315030,Churchill,"Richter D H, Rosenkrans D S, Steigerwald M J",1995,"Guide to the volcanoes of the western Wrangell Mountains, Alaska--Wrangell-St. Elias National Park and Preserve","U S Geol Surv Bull, 2072: 1-31"
315030,Churchill,Robinson S D,2001,"Extending the Late Holocene White River Ash distribution, northwestern Canada","Arctic, 54: 157-161"
315030,Churchill,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
315040,Edgecumbe,"Beget J E, Motyka R J",1998,"New dates on late Pleistocene dacitic tephra from the Mount Edgecumbe volcanic field, southeastern Alaska","Quat Res, 49: 123-125"
315040,Edgecumbe,"Brew D A, Muffler L J P, Loney R A",1969,"Reconnaissance geology of the Mount Edgecumbe volcanic field, Kruzof Island, southeastern Alaska","U S Geol Surv Prof Pap, 650-D: 1-18"
315040,Edgecumbe,"Henning R A, Rosenthal C H, Olds B, Reading E (eds)",1976,"Alaska's volcanoes, northern link in the ring of fire","Alaska Geog, 4: 1-88"
315040,Edgecumbe,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
315040,Edgecumbe,Riehle J R,1996,The Mount Edgecumbe volcanic field: a geologic history,"U S Dept Agriculture, 42 p"
315040,Edgecumbe,"Riehle J R, Brew D A, Lanphere M A",1989,"Geologic map of the Mount Edgecumbe volcanic field, Kruzof Island, southeastern Alaska","U S Geol Surv Map, I-1983"
315040,Edgecumbe,"Riehle J R, Champion D E, Brew D A, Lanphere M A",1992,"Pyroclastic deposits of the Mount Edgecumbe volcanic field, southeast Alaska: eruptions of a stratified magma chamber","J Volc Geotherm Res, 53: 117-143"
315040,Edgecumbe,"Riehle J R, Mann D H, Peteet D M, Engstrom D R, Brew D A,  Meyer C E",1992,"The Mount Edgecumbe tephra deposits, a marker horizon in southeastern Alaska near the Pleistocene-Holocene boundary","Quat Res, 37: 183-202"
315040,Edgecumbe,"Smith R L, Shaw H R, Luedke R G, Russell S L",1978,Comprehensive tables giving physical data and thermal energy estimates for young igneous systems of the United States,"U S Geol Surv Open-File Rpt, 78-925: 1-25"
315040,Edgecumbe,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
315050,Duncan Canal,"Brew D A, Karl S M, Tobey E F",1985,"Re-interpretation of the age of the Kuiu-Etolin belt volcanic rocks, Kupreanof Island, southeastern Alaska","In: Bartsch-Winkler S, Reed K M (eds) {The United States Geological Survey in Alaska: accomplishments during 1983}, U S Geol Surv Circ, 945: 86-88"
315050,Duncan Canal,"Karl S M, Haeussler P J, McCafferty A",1999,"Reconnaissance geologic map of the Duncan Canal-Zarembo Island area, southeastern Alaska","U S Geol Surv Open-File Rpt, 99-168"
315050,Duncan Canal,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
315060,Tlevak Strait-Suemez Is.,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
315070,Behm Canal-Rudyerd Bay,"Berg H C, Elliott R L, Koch R D",1988,"Geologic map of the Ketchikan and Prince Rupert quadrangles, southeastern Alaska","U S Geol Surv Map,  I-1807, 1:250,000 scale and 27 p text"
315070,Behm Canal-Rudyerd Bay,"Buddington A F, Chapin T",1929,Geology and mineral deposits of southeastern Alaska.,"U S Geol Surv Bull, 800: 278-279"
315070,Behm Canal-Rudyerd Bay,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
315070,Behm Canal-Rudyerd Bay,"Wanek A A, Callahan J E",1971,"Geologic reconnaissance of a proposed powersite at Lake Grace, Revillagigedo Island southeastern Alaska","U S Geol Surv Bull, 1211-E: 1-24"
315070,Behm Canal-Rudyerd Bay,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320010,Fort Selkirk,Bostock H S,1936,"Carmacks District, Yukon","Geol Surv Can Mem, 189: 1-67"
320010,Fort Selkirk,"Edwards B R, Russell J K",2000,"Distribution, nature, and origin of Neogene-Quaternary magmatism in the northern Cordilleran volcanic province, Canada","Geol Soc Amer Bull, 112: 1280-1295"
320010,Fort Selkirk,"Francis D, Ludden J",1990,"The mantle source for olivine nephelinite, basanite, and alkaline olivine basalt at Fort Selkirk, Yukon, Canada","J Petr, 31: 371-400"
320010,Fort Selkirk,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320010,Fort Selkirk,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320010,Fort Selkirk,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320010,Fort Selkirk,Jackson L E,1989,"Pleistocene subglacial volcanism near Fort Selkirk, Yukon Territory","Geol Surv Can Pap, 89-1E: 251-256"
320010,Fort Selkirk,"Jackson L E, Stevens W",1992,"A recent eruptive history of Volcano Mountain, Yukon Territory","Geol Surv Can Pap, 92-1A: 33-39"
320010,Fort Selkirk,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320020,Alligator Lake,"Eiche G E, Francis D M, Ludden J N",1987,"Primary alkaline magmas associated with the Quaternary Alligator Lake volcanic complex, Yukon Territory, Canada","Contr Mineral Petr, 95: 191-201"
320020,Alligator Lake,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320020,Alligator Lake,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320020,Alligator Lake,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320020,Alligator Lake,Wheeler J O,1961,"Whitehorse map-area, Yukon Territory, 105D","Geol Suv Can Mem, 312: 1-156"
320020,Alligator Lake,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320030,Atlin Volcanic Field,Aitken J D,1959,"Atlin map-area, British Columbia","Geol Surv Can Mem, 307: 1-89"
320030,Atlin Volcanic Field,"Edwards B R, Hamilton T S, Nicholls J, Stout M Z, Russell J K, Simpson K",1996,"Late Tertiary to Quaternary volcanism in the Atlin area, northwestern British Columbia","Geol Surv Can, Current Res 1996-A: 29-36"
320030,Atlin Volcanic Field,"Edwards B R, Russell J K, Anderson R G, Harder M",2003,"Overview of Neogene to Recent volcanism in the Atlin volcanic district, Northern Cordilleran province, northwestern British Columbia","Geol Surv Canada, Current Res, 2003-A8: 1-6"
320030,Atlin Volcanic Field,"Harder M, Russell J K",2007,"Basanite glaciovolcanism at Llangorse Mountain, northern British Columbia, Canada","Bull Volc, 69: 329-340"
320030,Atlin Volcanic Field,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320030,Atlin Volcanic Field,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320030,Atlin Volcanic Field,Holland S S,1976,"Landforms of British Columbia, a physiographic outline","Brit Columbia Dept Mines Petrol Resour Bull, 48: 1-138 (2nd printing)"
320030,Atlin Volcanic Field,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320031,Tuya Volcanic Field,"Allen C C, Jercinovic M J, Allen J S B",1982,Subglacial volcanism in north-central British Columbia and Iceland,"J Geol, 90: 699-715"
320031,Tuya Volcanic Field,Edwards B R,2004,,(pers. comm.)
320031,Tuya Volcanic Field,Gabrielse H,1969,Geology of Jenning River map-area,"Geol Surv Can Pap, 68-55: 1-37"
320031,Tuya Volcanic Field,"Gabrielse H, Souther J G",1962,"Dease Lake, British Columbia","Geol Surv Can Map, 21-1962"
320031,Tuya Volcanic Field,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320031,Tuya Volcanic Field,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320031,Tuya Volcanic Field,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320031,Tuya Volcanic Field,"Simpson K, Edwards B, Wetherell K",2006,"Documentation of a Holocene volcanic cone in the Tuya-Teslin volcanic field, northern British Columbia","Geol Surv Canada, Current Res, 2006-A1: 1-7"
320031,Tuya Volcanic Field,"Wetherell K, Edwards B, Simpson K",2005,"Preliminary results of field mapping, petrography, and GIS spatial analysis of the West Tuyu lava field, northwestern British Columbia","Geol Surv Canada, Current Res, 2005-A2: 1-10"
320031,Tuya Volcanic Field,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320040,Heart Peaks,"Casey J J, Scarfe C M",1978,"Geology of the Heart Peaks volcanic centre, northwestern British Columbia","Geol Surv Can Pap, 78-1A: 87-89"
320040,Heart Peaks,"Church B N, McAdam K A",1983,Geothermal potential map of British Columbia,"Brit Columbia Ministry Energy Mines Petrol Resour, 1:2,000,000 scale"
320040,Heart Peaks,Edwards B R,2004,,(pers. comm.)
320040,Heart Peaks,"Edwards B R, Russell J K",2000,"Distribution, nature, and origin of Neogene-Quaternary magmatism in the northern Cordilleran volcanic province, Canada","Geol Soc Amer Bull, 112: 1280-1295"
320040,Heart Peaks,"Gabrielse H, Souther J G",1962,"Dease Lake, British Columbia","Geol Surv Can Map, 21-1962"
320040,Heart Peaks,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320040,Heart Peaks,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320040,Heart Peaks,Souther J G,1971,"Geology and mineral deposits of Tulsequah map-area, British Columbia.","Geol Surv Can Mem, 362: 1-64"
320050,Level Mountain,Edwards B R,2004,,(pers. comm.)
320050,Level Mountain,"Edwards B R, Russell J K",2000,"Distribution, nature, and origin of Neogene-Quaternary magmatism in the northern Cordilleran volcanic province, Canada","Geol Soc Amer Bull, 112: 1280-1295"
320050,Level Mountain,"Gabrielse H, Souther J G",1962,"Dease Lake, British Columbia","Geol Surv Can Map, 21-1962"
320050,Level Mountain,"Hamilton T S, Scarfe C M",1977,"Preliminary report on the petrology of the Level Mountain Volcanic Centre, northwest British Columbia","Geol Surv Can Pap, 77-1A: 429-433"
320050,Level Mountain,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320050,Level Mountain,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320050,Level Mountain,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320050,Level Mountain,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320060,Edziza,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320060,Edziza,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320060,Edziza,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320060,Edziza,Souther J G,1967,Cordilleran volcanic project,"Geol Surv Can Pap, 68-1A: 42-43"
320060,Edziza,Souther J G,1970,Volcanism and its relationship to recent crustal movements in the Canadian Cordillera,"Can J Earth Sci, 7: 553-568"
320060,Edziza,Souther J G,1992,"The late Cenozoic Mount Edziza volcanic complex, British Columbia","Geol Surv Can Mem, 420: 1-320"
320060,Edziza,"Souther J G, Symons D T A",1974,"Stratigraphy and paleomagnetism of Mount Edziza volcanic complex, northwestern British Columbia","Geol Surv Can Pap, 73-32: 1-48"
320060,Edziza,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320070,Spectrum Range,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320070,Spectrum Range,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320070,Spectrum Range,Souther J G,1973,Cordilleran volcanic project Spectrum Range,"Geol Surv Can Pap, 73-1: 46-48"
320070,Spectrum Range,Souther J G,1992,"The late Cenozoic Mount Edziza volcanic complex, British Columbia","Geol Surv Can Mem, 420: 1-320"
320070,Spectrum Range,"Souther J G, Lambert M B",1972,Volcanic rocks of the northern Canadian Cordillera,"24th Internatl Geol Cong, Montreal, Guidebook, Sec 2: 1-54"
320070,Spectrum Range,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320080,Hoodoo Mountain,"Edwards B R, Edwards G, Russell J K",1995,"Revised stratigraphy for the Hoodoo Mountain volcanic centre, northwestern British Columbia","Geol Surv Can, Current Res. 1995-A: 105-115"
320080,Hoodoo Mountain,"Edwards B R, Russell J K",1994,"Preliminary stratigraphy of Hoodoo Mountain volcanic centre, northwestern British Columbia","Geol Surv Can Pap, 94-1A: 69-76"
320080,Hoodoo Mountain,"Edwards B R, Russell J K, Anderson R G",2002,"Subglacial, phonolitic volcanism at Hoodoo Mountain volcano, northern Canadian Cordillera","Bull Volc, 64: 254-272"
320080,Hoodoo Mountain,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320080,Hoodoo Mountain,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320080,Hoodoo Mountain,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320080,Hoodoo Mountain,Kerr F A,1948,"Lower Stikine and western Iskut River areas, British Columbia","Geol Surv Can Mem, 246: 1-94"
320080,Hoodoo Mountain,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320090,Iskut-Unuk River Cones,"Edwards B R, Russell J K, Anderson R G",2002,"Subglacial, phonolitic volcanism at Hoodoo Mountain volcano, northern Canadian Cordillera","Bull Volc, 64: 254-272"
320090,Iskut-Unuk River Cones,"Elliott R L, Koch R D, Robinson S W",1981,"Age of basalt flows in the Blue River valley, Bradfield Canal quadrangle","U S Geol Surv Circ, 823-B: 115-116"
320090,Iskut-Unuk River Cones,Grove E W,1976,Deglaciation a possible triggering mechanism for recent volcanism,"In: Gonzalez-Ferran O (ed) {Proc Symp Andean & Antarctic Volcanology Problems (Santiago, Chile, Sept 1974)}, Rome: IAVCEI, p 88-97"
320090,Iskut-Unuk River Cones,"Hauksdottir S, Enegren E G, Russell J K",1994,"Recent basaltic volcanism in the Iskut-Unuk rivers area, northwestern British Columbia","Geol Surv Can Pap, 94-1A: 57-67"
320090,Iskut-Unuk River Cones,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320090,Iskut-Unuk River Cones,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320090,Iskut-Unuk River Cones,Holland S S,1976,"Landforms of British Columbia, a physiographic outline","Brit Columbia Dept Mines Petrol Resour Bull, 48: 1-138 (2nd printing)"
320090,Iskut-Unuk River Cones,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320090,Iskut-Unuk River Cones,Kerr F A,1948,"Lower Stikine and western Iskut River areas, British Columbia","Geol Surv Can Mem, 246: 1-94"
320090,Iskut-Unuk River Cones,Souther J G,1977a,"Volcanism and tectonic environments in the Canadian Cordillera, a second look","Geol Assoc Can Spec Pap, 16: 3-24"
320090,Iskut-Unuk River Cones,"Stasiuk M V, Russell J K",1990,"Quaternary volcanic rocks of the Iskut River region, northwestern British Columbia","Geol Surv Can Pap, 90-1E: 153-157"
320090,Iskut-Unuk River Cones,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320090,Iskut-Unuk River Cones,Wright F E,1906,Unuk River mining region,"Ann Rpt Ministry Mines, Brit Columbia (1905), p 68-74"
320100,Tseax River Cone,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320100,Tseax River Cone,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320100,Tseax River Cone,Higgins M D,2009,The Cascadia megathrust earthquake of 1700 may have rejuvenated an isolated basalt volcano in western Canada: age and petrographic evidence,"J Volc Geotherm Res, 179: 149-156"
320100,Tseax River Cone,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320100,Tseax River Cone,Sutherland-Brown A,1969,"Aiyansh lava flow, British Columbia","Can J Earth Sci, 6: 1460-1468"
320100,Tseax River Cone,Wuorinen V,1978,"Age of Aiyansh volcano, British Columbia","Can J Earth Sci, 15: 1037-1038"
320110,Crow Lagoon,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320110,Crow Lagoon,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320110,Crow Lagoon,"Souther J G, Weiland I",1993,Crow Lagoon tephra--new evidence of recent volcanism in west-central British Columbia,"Geol Surv Can Pap, 93-1A: 57-62"
320120,Milbanke Sound Group,Baer A J,1973,"Bella Coola-Laredo Sound map areas, British Columbia","Geol Surv Can Mem, 372: 1-122"
320120,Milbanke Sound Group,Dolmage V,1921,Coast and islands of British Columbia between Burke and Douglas Channels,"Geol Surv Can Summary Rpt, no 29"
320120,Milbanke Sound Group,Dolmage V,1924,Post-Pleistocene volcanics of the British Columbia coast,"J Geol, 32: 36-48"
320120,Milbanke Sound Group,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320120,Milbanke Sound Group,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320120,Milbanke Sound Group,Holland S S,1976,"Landforms of British Columbia, a physiographic outline","Brit Columbia Dept Mines Petrol Resour Bull, 48: 1-138 (2nd printing)"
320120,Milbanke Sound Group,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320120,Milbanke Sound Group,Souther J G,1966,Cordilleran volcanic study,"Geol Surv Can Pap, 66-1: 87-89"
320120,Milbanke Sound Group,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320130,Satah Mountain,"Charland A, Francis D, Ludden J",1993,"Stratigraphy and geochemistry of the Itcha Volcanic Complex, central British Columbia","Can J Earth Sci, 30: 132-144"
320130,Satah Mountain,Hickson C J,1992,,(pers. comm.)
320130,Satah Mountain,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320130,Satah Mountain,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320130,Satah Mountain,Tipper H W,1969,"Anahim Lake area, British Columbia","Geol Surv Can Map, 1202A"
320140,Nazko,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320140,Nazko,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320140,Nazko,Holland S S,1976,"Landforms of British Columbia, a physiographic outline","Brit Columbia Dept Mines Petrol Resour Bull, 48: 1-138 (2nd printing)"
320140,Nazko,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320140,Nazko,"Souther J G, Clague J J, Mathewes R W",1987,Nazko cone: a Quaternary volcano in the eastern Anahim belt,"Can J Earth Sci, 24: 2477-2485"
320140,Nazko,Tipper H W,1959,"Quesnel Cariboo District, British Columbia","Geol Surv Can Map, 12-1959"
320140,Nazko,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320150,Wells Gray-Clearwater,Campbell R B,1961,"Quesnel Lake, west half, British Columbia","Geol Surv Can Map, 3-1961"
320150,Wells Gray-Clearwater,Campbell R B,1963,"Quesnel Lake, east half, British Columbia","Geol Surv Can Map, 1-1963"
320150,Wells Gray-Clearwater,Campbell R B,1967,"Canoe River, west half, British Columbia","Geol Surv Can Map, 15-1967"
320150,Wells Gray-Clearwater,"Campbell R B, Tipper H W",1971,"Geology of Bonaparte Lake map-area, British Columbia","Geol Surv Can Mem, 363: 1-100"
320150,Wells Gray-Clearwater,Davis N F G,1930,"Clearwater Lake area, British Columbia","Geol Surv Can Summary Rpt, Part A: 274-293"
320150,Wells Gray-Clearwater,Hickson C J,1986,"Quaternary volcanism in the Wells Grey-Clearwater area, east central British Columbia","Unpublished PhD thesis, Univ British Columbia, 357 p"
320150,Wells Gray-Clearwater,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320150,Wells Gray-Clearwater,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320150,Wells Gray-Clearwater,"Hickson C J, Souther J G",1984,"Late Cenozoic volcanic rocks of the Clearwater-Wells Gray area, British Columbia","Can J Earth Sci, 21: 267-277"
320150,Wells Gray-Clearwater,Holland S S,1976,"Landforms of British Columbia, a physiographic outline","Brit Columbia Dept Mines Petrol Resour Bull, 48: 1-138 (2nd printing)"
320150,Wells Gray-Clearwater,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320150,Wells Gray-Clearwater,Metcalf P,1987,"Petrogenesis of Quaternary alkaline lavas in Wells Gray Provincial Park, B.C. and constraints on the petrology of the subcordilleran mantle","Unpublished PhD thesis, Univ Alberta, 395 p"
320150,Wells Gray-Clearwater,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320160,Silverthrone,Blake W,1985,Geological Survey of Canada radiocarbon dates XXV,"Geol Surv Can Pap, 85: 19"
320160,Silverthrone,"Green N L, Armstrong R L, Harakal J E, Souther J G, Read P B",1988,"Eruptive history and K-Ar geochronology of the late Cenozoic Garibaldi volcanic belt, southwestern British Columbia","Geol Soc Amer Bull, 100: 563-579"
320160,Silverthrone,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320160,Silverthrone,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320160,Silverthrone,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320160,Silverthrone,"Wood C A, Kienle J (eds)",1990,Volcanoes of North America,"Cambridge, England: Cambridge Univ Press, 354 p"
320170,Bridge River Cones,Dolmage V,1928,"Gun Creek map-area, British Columbia","Geol Surv Can Summary Rpt, Part A: 78-93"
320170,Bridge River Cones,"Green N L, Armstrong R L, Harakal J E, Souther J G, Read P B",1988,"Eruptive history and K-Ar geochronology of the late Cenozoic Garibaldi volcanic belt, southwestern British Columbia","Geol Soc Amer Bull, 100: 563-579"
320170,Bridge River Cones,"Hickson C J, Edwards B R",2001,Volcanoes and Volcanic Hazards in Canada,"In; Brooks G R (ed) {A Synthesis of Geological Hazards in Canada}, Geol Surv Can Bull, 548: 1-248"
320170,Bridge River Cones,"Hickson C J, Soos A, Wright R",1994,Catalogue of Canadian volcanoes,Geol Surv Canada Open-File Rpt
320170,Bridge River Cones,Holland S S,1976,"Landforms of British Columbia, a physiographic outline","Brit Columbia Dept Mines Petrol Resour Bull, 48: 1-138 (2nd printing)"
320170,Bridge River Cones,IAVCEI,1973-80,Post-Miocene Volcanoes of the World,"IAVCEI Data Sheets, Rome: Internatl Assoc Volc Chemistry Earth's Interior."
320170,Bridge River Cones,"Lawrence R B, Armstrong R L, Berman R G",1984,"Garibaldi Group volcanic rocks of the Salal Creek area, southwestern British Columbia: alkaline lavasw on the fringe of the predominately calc-alkaline Garibaldi (Cascade) volcanic arc","J Volc Geotherm Res, 21: 255-276"
